,city,price,latitude,longitude
85,MATHER,237800.0,38.547990999999996,-121.280483
106,POLLOCK PINES,280908.0,38.75485,-120.60476000000001
142,GREENWOOD,395000.0,38.945357,-120.908822
146,RANCHO CORDOVA,430000.0,38.550616999999995,-121.23526000000001
151,ELK GROVE,510000.0,38.382529999999996,-121.42803799999999
242,MEADOW VISTA,230000.0,39.008159,-121.03623
280,RIO LINDA,300000.0,38.700553,-121.452223
307,GALT,420000.0,38.271646000000004,-121.28684799999999
309,RANCHO MURIETA,425000.0,38.512602,-121.08723300000001
331,ROSEVILLE,614000.0,38.742118,-121.359909
332,FAIR OAKS,680000.0,38.64167,-121.26209899999999
333,SACRAMENTO,699000.0,38.563244,-121.446876
334,LOOMIS,839000.0,38.813337,-121.133348
384,ELVERTA,140000.0,38.71865,-121.40776299999999
486,EL DORADO,289000.0,38.673285,-120.879176
525,ANTELOPE,408431.0,38.727649,-121.38565600000001
538,ORANGEVALE,475000.0,38.693041,-121.23293999999999
543,PENRYN,506688.0,38.862708000000005,-121.16209199999999
544,LINCOLN,512000.0,38.861615,-121.26868999999999
546,GOLD RIVER,528000.0,38.629298999999996,-121.249021
548,FOLSOM,636000.0,38.684459000000004,-121.14593500000001
549,CARMICHAEL,668365.0,38.63558,-121.35363899999999
551,PLACERVILLE,677048.0,38.737452000000005,-120.910963
553,GRANITE BAY,760000.0,38.779435,-121.146676
686,FORESTHILL,194818.0,39.020808,-120.821518
709,DIAMOND SPRINGS,216033.0,38.688255,-120.810235
757,SHINGLE SPRINGS,275000.0,38.64347,-120.88818300000001
778,COOL,300000.0,38.905927,-120.975169
782,CITRUS HEIGHTS,305000.0,38.715493,-121.26293000000001
820,WALNUT GROVE,380000.0,38.247659000000006,-121.515129
835,CAMERON PARK,425000.0,38.669805,-120.999007
845,GARDEN VALLEY,490000.0,38.84255,-120.8754
852,AUBURN,560000.0,38.865246,-121.09486899999999
857,ROCKLIN,600000.0,38.772672,-121.22023200000001
859,ROCKLIN,600000.0,38.781134,-121.222801
863,EL DORADO HILLS,879000.0,38.706692,-121.058869
864,WILTON,884790.0,38.415298,-121.19485800000001
866,SLOUGHHOUSE,2000.0,38.490446999999996,-121.129337
947,WEST SACRAMENTO,200100.0,38.569943,-121.52753899999999
972,NORTH HIGHLANDS,224252.0,38.70355,-121.375103
